,education,married,voted,wr_01,wr_06,wr_new,age_10s,age4,race_white,Mach_score,mach_per,tp_score
146,2,2,1,1,0,0,0,2,1,3,1,1.7
147,3,1,2,1,1,1,0,1,0,3,1,3.7
148,2,1,2,1,0,0,1,0,1,4,2,2.6
149,2,1,1,1,0,0,0,1,1,4,2,3.4
150,2,1,2,1,0,0,1,0,0,3,1,3.5
151,3,2,1,1,1,1,0,2,1,2,1,2.1
152,3,1,2,0,0,0,0,1,0,3,1,2.6
153,3,2,1,0,1,1,0,1,1,3,1,3.6
154,2,1,2,1,1,1,1,0,1,3,1,3.6
155,3,3,1,1,0,0,0,1,1,3,1,3.1
156,2,1,1,1,0,0,0,1,1,3,1,3.5
157,2,1,1,1,0,0,1,0,1,2,0,2.7
158,2,1,1,1,0,0,0,1,0,4,2,2.5
159,2,1,2,1,0,0,1,0,1,3,1,1.3
160,3,2,2,1,1,1,0,2,1,4,2,1.3
161,3,2,1,1,1,1,0,1,1,2,0,2.6
162,2,1,2,1,1,1,1,0,1,3,1,2.8
163,4,1,1,0,0,0,0,1,1,3,1,1.6
164,4,1,2,1,1,1,0,1,0,4,2,3.1
165,2,1,2,0,0,0,1,0,0,3,1,3.2
166,4,3,1,1,0,0,0,2,1,2,1,2.4
167,3,2,1,0,0,0,0,1,0,4,2,1.8
168,2,3,2,0,0,0,0,3,0,2,0,3
169,3,1,1,0,0,0,0,2,1,3,1,2.2
170,1,1,2,1,0,0,1,0,1,4,2,4
171,2,2,2,1,0,0,0,2,1,3,1,1.7
172,3,1,2,1,1,1,0,1,0,4,2,3
173,3,1,2,1,0,0,0,1,1,4,2,2.5
174,2,1,2,0,0,0,1,0,1,3,1,2.5
175,1,1,2,0,0,0,1,0,1,1,0,1.5
176,4,2,1,1,0,1,0,2,1,4,2,1.9
177,3,2,1,1,0,0,0,2,1,3,1,3.3
178,3,2,1,1,1,0,0,2,1,3,1,1.8
179,3,1,1,1,0,0,0,1,1,3,1,2.6
180,3,2,1,1,1,1,0,2,1,2,1,2.4
181,3,3,1,1,1,1,0,2,1,2,1,2
182,2,1,2,1,0,1,1,0,0,3,1,2.5
183,4,2,1,1,1,1,0,1,1,4,2,2.4
184,1,1,2,1,0,0,0,1,1,2,0,4
185,3,1,2,0,1,0,0,1,0,4,2,0.7
186,3,1,1,1,1,0,0,1,1,4,2,1.8
187,3,1,1,1,1,0,0,1,0,2,1,1.6
188,3,1,1,0,1,0,0,1,0,3,1,4
189,4,1,2,1,1,1,0,1,1,3,1,2.9
190,4,1,2,1,1,1,0,1,1,3,2,2.6
191,2,1,2,0,0,0,1,0,0,4,2,2.6
192,3,1,2,1,0,0,0,1,1,4,2,2.6
193,2,1,2,1,1,0,1,0,1,4,2,2.6
194,2,1,2,0,0,0,1,0,1,2,0,2.4
195,2,1,1,0,1,0,0,2,0,3,1,1.7
196,1,1,2,1,0,0,1,0,0,3,1,4.8
197,2,1,2,1,1,0,1,0,1,4,2,2.6
198,4,2,2,1,1,1,0,3,1,2,1,2.7
199,3,1,2,1,1,1,0,1,0,2,0,1.7
200,4,2,1,1,1,1,0,2,1,2,0,1.8
201,2,1,2,1,0,0,0,1,1,3,1,2.3
202,3,2,1,1,0,0,0,1,1,4,2,2.2
203,2,2,1,1,1,1,0,2,1,3,1,1.5
204,2,1,2,1,1,0,1,0,1,4,2,2.3
205,2,1,1,0,0,0,0,1,0,2,1,2.2
206,4,1,1,1,0,1,0,1,0,2,0,1.6
207,2,1,2,0,0,0,0,1,0,2,0,3
208,2,1,1,1,0,0,0,1,1,3,1,2.7
209,3,2,2,1,0,0,0,1,0,3,1,3.3
210,3,1,2,1,0,0,0,1,0,4,2,4.4
211,4,2,2,1,1,1,0,3,0,3,1,1.8
212,2,1,2,1,0,0,1,0,0,5,2,3.2
213,4,1,1,1,1,1,0,2,1,3,1,1.6
214,3,3,2,1,0,0,0,1,0,4,2,3.8
215,2,2,1,0,0,0,0,1,0,2,0,2.6
216,2,1,2,1,0,0,1,0,1,3,1,2.7
217,4,1,2,1,1,0,0,1,0,4,2,3.7
218,3,1,1,1,0,0,0,2,1,1,0,1
219,1,1,2,1,1,1,1,0,1,2,0,1.4
220,2,1,2,1,0,0,0,1,1,4,2,3.9
221,2,1,2,1,1,0,1,0,1,3,1,1.7
222,3,1,1,0,0,0,0,1,1,3,2,3
223,2,1,1,1,0,0,1,0,0,1,0,0.2
224,3,2,1,1,1,1,0,1,1,3,1,2.4
225,3,1,2,1,0,1,0,1,1,2,0,2.4
226,3,1,1,1,1,1,0,1,1,3,1,4.3
227,1,1,2,1,0,0,1,0,1,2,1,2.4
228,4,2,1,1,0,1,0,3,1,2,0,0.4
229,3,1,1,1,0,0,0,1,1,4,2,3
230,2,2,1,1,0,0,0,1,1,2,0,1.6
231,3,1,2,1,0,0,0,1,0,3,1,1.8
232,2,1,2,0,0,0,0,1,0,3,1,2.1
233,3,1,1,0,0,0,0,1,0,3,1,4.4
234,2,1,2,1,0,0,1,0,1,4,2,3.8
235,4,3,2,0,0,0,0,1,1,2,0,2.3
236,3,3,2,1,1,1,0,2,0,1,0,2.1
237,4,2,1,1,1,1,0,3,1,3,1,2.8
238,3,2,2,1,0,0,0,2,1,3,1,1.7
239,3,1,1,0,0,0,0,3,1,3,1,2.9
240,3,2,1,1,1,1,0,2,1,2,1,0.8
241,3,2,1,1,1,1,0,1,1,3,1,2.1
242,3,2,1,1,1,0,0,1,0,1,0,1.4
243,4,3,1,1,1,1,0,2,0,2,0,2.4
244,3,2,1,1,1,1,0,1,1,2,0,3.1
245,4,3,2,1,1,1,0,2,1,2,1,2.1
246,2,1,2,1,0,0,0,1,0,3,1,3.6
247,2,1,2,1,0,0,0,2,1,1,0,1.7
248,4,1,1,0,0,0,0,1,1,2,0,2
249,1,1,2,1,1,1,1,0,0,4,2,2.6
250,2,3,1,1,0,0,0,3,1,3,1,2.7
251,2,1,2,1,0,0,1,0,1,3,1,2.9
252,2,1,2,1,0,0,1,0,1,2,0,0.8
253,2,1,2,0,1,1,1,0,0,3,1,3
254,4,1,1,1,1,0,0,1,1,4,2,1.4
255,2,1,2,1,0,0,1,0,0,4,2,3
256,2,1,2,0,0,0,1,0,0,4,2,2.1
257,2,1,1,1,1,1,1,0,1,4,2,2.9
258,3,1,1,1,0,0,0,1,1,2,0,2.9
259,3,1,2,0,0,0,0,1,1,3,1,2.1
260,1,1,2,0,0,0,1,0,1,3,2,2.2
261,4,1,2,1,0,0,0,1,0,4,2,3.1
262,1,1,2,1,0,0,0,1,1,3,1,2.4
263,3,1,2,1,0,0,0,1,1,4,2,2.8
264,1,1,2,1,0,0,1,0,1,2,1,3.2
265,1,1,2,1,0,0,1,0,1,2,0,3.5
266,4,1,2,1,1,1,0,1,1,3,1,2.7
267,4,3,1,1,1,1,0,2,1,2,1,0.7
268,4,1,1,1,1,1,0,1,0,3,1,3.1
269,4,2,2,1,0,0,0,2,0,2,1,2.3
270,3,2,2,0,0,0,0,1,0,4,2,2.8
271,3,1,1,0,0,0,0,1,0,1,0,0.2
272,2,1,2,0,0,0,0,1,1,3,1,3.9
273,3,1,1,1,0,0,0,1,0,4,2,1.7
274,3,1,2,0,0,0,0,1,0,3,1,2.7
275,4,2,2,1,1,1,0,1,1,2,0,1
276,1,1,2,1,0,0,1,0,0,2,1,1
277,4,2,1,1,0,0,0,2,1,2,1,1.2
278,4,3,1,1,0,0,0,3,1,1,0,0.4
279,2,1,1,0,0,0,1,0,0,3,1,3.3
280,2,1,1,0,0,1,1,0,1,4,2,2.8
281,2,1,1,1,0,0,0,1,1,2,1,4.2
282,1,1,2,0,0,0,1,0,1,3,1,2
283,2,1,1,1,0,0,1,0,0,3,1,4.5
284,3,1,1,1,0,0,0,1,1,4,2,1.9
285,3,1,2,0,0,0,0,1,0,3,1,2.2
286,3,1,1,1,0,0,0,1,1,2,1,3
287,2,2,1,1,0,0,0,1,1,3,1,2.2
288,2,1,2,0,0,0,1,0,0,2,0,3
289,3,1,1,1,0,0,0,1,1,2,1,4
290,3,1,2,1,0,0,1,0,1,3,1,3.2
291,2,1,2,1,1,0,1,0,0,4,2,2.9
292,1,1,2,1,1,1,1,0,1,3,1,1.4
293,2,1,2,0,0,0,1,0,1,4,2,2
294,3,2,2,0,0,0,0,2,0,2,0,2.1
295,2,1,2,1,0,0,0,1,1,3,1,3
296,1,1,2,1,1,1,1,0,0,4,2,2.8
297,2,1,2,0,0,0,1,0,1,2,0,1.3
298,3,2,1,1,0,0,0,2,1,1,0,3.3
299,2,1,2,0,0,1,1,0,1,2,0,3.2
300,3,1,1,1,1,1,0,1,1,3,1,2.9
301,1,1,2,0,0,0,1,0,1,4,2,1.8
302,3,1,1,1,1,0,0,1,0,3,2,3.2
303,3,2,2,1,1,0,0,1,0,3,1,2.2
304,3,1,1,1,1,1,0,1,1,3,1,3.6
305,2,2,2,1,0,0,0,1,1,3,1,2.9
306,3,3,1,1,0,0,0,1,1,3,1,2.6
307,3,1,1,1,0,0,0,1,0,3,1,2.8
308,4,1,1,1,1,1,0,1,1,2,0,2.7
309,3,2,2,1,1,0,0,1,1,4,2,1.8
310,3,2,2,1,1,1,0,2,1,3,1,2.6
311,4,1,2,1,1,1,0,1,1,3,1,2.4
312,2,1,2,1,0,0,1,0,0,3,1,1.4
313,3,1,1,0,0,0,0,1,0,3,1,2.8
314,1,1,1,1,0,0,0,1,1,3,1,2.5
315,3,3,1,1,1,1,0,3,1,2,0,2.2
316,3,1,2,1,1,1,0,1,1,3,1,3.5
317,4,2,2,1,1,1,0,2,1,4,2,3
318,2,1,2,1,1,0,1,0,1,4,2,4.3
319,3,1,2,0,0,0,0,2,1,2,1,1.2
320,3,2,2,1,1,1,0,2,1,2,0,3
321,3,2,1,0,0,0,0,1,1,2,0,2.3
322,1,1,2,0,0,0,1,0,1,4,2,2.4
323,2,1,2,0,0,0,1,0,0,3,1,3.7
324,3,3,1,0,1,1,0,2,1,2,0,1.2
325,3,1,1,1,1,1,0,1,0,3,1,4.1
326,4,1,1,1,0,0,0,1,1,2,0,2.1
327,3,1,1,1,1,0,0,1,1,3,1,2.5
328,1,1,2,1,0,0,1,0,1,3,1,1.6
329,4,1,2,1,0,0,0,1,0,2,0,2.9
330,2,3,1,1,1,0,0,2,0,4,2,2.1
331,3,1,1,1,0,0,0,1,0,1,0,4.5
332,3,1,1,0,0,0,0,1,0,4,2,2.8
333,3,1,1,1,0,1,0,1,1,2,0,2.8
334,2,1,2,1,1,1,1,0,0,3,1,3.3
335,3,3,1,0,0,0,0,2,1,1,0,0.5
336,3,2,1,0,0,0,0,1,1,2,0,2.9
337,2,3,1,1,0,1,0,2,1,2,0,1.2
338,4,1,1,1,1,1,0,1,1,3,1,2.1
339,3,1,2,1,1,1,0,1,1,4,2,2.4
340,4,3,2,1,0,0,0,1,1,3,1,2
341,2,1,1,0,1,1,0,1,1,4,2,3.5
342,1,1,2,0,0,0,1,0,0,4,2,2.2
343,2,1,2,1,0,0,1,0,1,3,1,2.4
344,4,2,1,1,1,0,0,1,1,3,1,2.7
345,2,1,1,0,0,0,0,1,1,2,1,3.8
346,2,1,2,0,0,0,0,1,0,2,1,3
347,2,1,2,1,0,0,1,0,1,3,1,3.4
348,3,1,1,1,1,1,0,1,1,4,2,1.2
349,1,1,2,1,0,0,1,0,0,3,1,2.8
350,4,1,1,0,0,0,0,1,0,2,0,2.6
351,4,1,1,1,0,0,0,1,1,2,0,2.4
352,4,1,2,0,1,1,0,1,1,3,1,2.4
353,3,1,1,1,1,1,0,1,1,3,1,1.9
354,4,2,1,1,1,1,0,2,1,1,0,1.3
355,3,3,1,1,0,0,0,2,1,2,0,2.5
356,2,1,2,1,0,0,0,1,1,3,1,1.8
357,2,1,2,1,0,0,1,0,1,3,1,4.4
358,1,1,2,0,0,0,1,0,1,2,1,1.9
359,2,2,1,1,0,0,0,3,0,2,0,1.9
360,4,1,1,0,0,0,0,3,0,2,0,0.6
361,4,2,2,1,0,0,0,1,0,3,1,2.2
362,2,1,2,1,1,0,1,0,0,2,0,2
363,1,1,2,0,0,0,1,0,1,2,0,2
364,2,1,2,1,0,0,1,0,0,3,1,2.2
365,2,1,2,0,0,0,1,0,1,3,1,2.4
366,2,2,1,1,0,0,0,2,1,2,1,1.4
367,3,2,1,0,0,0,0,1,1,4,2,1.7
368,3,1,1,1,1,1,0,2,1,3,1,1.5
369,3,3,1,1,1,0,0,2,1,4,2,2.7
370,2,1,2,0,0,0,1,0,0,3,1,2.8
371,1,1,2,1,0,0,1,0,1,2,1,1.9
372,1,1,2,0,0,0,1,0,1,3,1,2.4
373,2,1,1,0,0,0,1,0,1,3,1,2.6
374,2,2,1,1,0,0,0,1,1,4,2,2.8
375,4,1,2,0,0,0,0,1,0,3,1,2.4
376,3,1,2,1,1,1,0,1,1,3,1,2.9
377,2,1,2,1,0,0,0,1,1,3,1,3
378,3,1,1,1,1,1,0,1,1,2,0,2.2
379,2,1,1,0,0,0,1,0,0,2,1,2.6
380,4,2,1,1,1,0,0,2,1,2,0,0.9
381,3,2,1,1,0,0,0,1,1,4,2,2.8
382,2,1,2,0,0,0,1,0,0,3,1,3
383,4,1,2,0,0,0,0,1,0,3,1,1.2
384,2,1,2,0,0,0,1,0,1,2,0,2.2
385,4,2,1,1,1,1,0,2,1,2,0,2
386,3,3,1,0,0,0,0,1,1,2,0,2.7
387,3,3,2,1,1,0,0,2,1,2,1,2.1
388,3,3,1,1,1,1,0,2,1,4,2,3.3
389,2,3,1,1,1,1,0,2,1,3,1,1.9
390,2,1,1,1,1,1,1,0,1,4,2,2.3
391,2,1,2,1,0,0,1,0,1,4,2,1.3
392,2,1,2,1,0,0,1,0,0,3,1,2.3
393,4,2,1,1,0,1,0,2,1,3,1,3
394,2,1,1,0,0,1,0,1,1,3,1,4
395,4,3,2,1,0,0,0,2,1,1,0,1.8
396,4,2,1,1,0,0,0,1,0,3,1,3
397,3,1,2,1,0,0,0,1,1,3,1,4.2
398,2,1,2,1,0,0,1,0,1,3,1,2.3
399,1,1,2,1,1,0,1,0,0,4,2,2.8
400,3,1,2,1,0,0,0,1,0,3,1,2.8
401,2,1,2,1,0,0,1,0,0,3,1,1.8
402,2,3,1,0,0,0,0,2,1,3,1,2.1
403,3,3,1,1,1,1,0,1,1,1,0,2.1
404,4,3,2,1,1,1,0,2,0,4,2,1.6
405,1,1,2,0,0,0,1,0,0,2,0,2.4
406,4,2,1,1,1,1,0,2,0,4,2,3.5
407,4,2,2,1,1,1,0,1,0,2,0,1.1
408,3,1,1,1,0,1,0,1,0,3,1,3.1
409,2,1,2,1,1,0,1,0,0,3,1,3.3
410,3,1,1,1,0,0,0,1,1,3,1,3.3
411,1,1,2,0,0,0,1,0,0,3,1,1.9
412,4,2,2,0,0,0,0,1,0,4,2,1.7
413,4,2,2,1,0,1,0,2,1,3,1,1.1
414,2,1,2,1,0,0,1,0,0,3,1,1.9
415,2,3,1,1,0,0,0,2,1,2,0,1.9
416,2,2,2,1,0,0,0,1,0,4,2,2.3
417,1,1,2,0,0,0,1,0,1,3,1,2.6
418,3,2,2,1,0,1,0,2,1,3,1,1.8
419,2,1,2,1,0,0,1,0,1,3,1,2.6
420,1,1,2,0,0,0,1,0,1,2,0,1.6
421,2,3,1,1,0,1,0,1,1,2,0,2.9
422,2,1,2,0,0,0,0,1,1,2,0,2.6
423,2,3,1,1,0,0,0,1,1,3,1,2.3
424,4,2,2,1,1,1,0,2,1,2,0,0.9
425,3,2,1,1,1,1,0,2,1,4,2,1.9
426,1,1,2,1,0,0,1,0,1,3,1,2.1
427,3,1,2,1,0,0,0,2,1,2,1,3.3
428,2,1,2,1,0,0,1,0,1,3,2,3.5
429,2,1,2,0,0,0,1,0,0,3,1,1.7
430,2,2,1,1,0,0,0,1,1,2,1,2.4
431,2,1,2,1,0,0,1,0,1,3,1,1
432,3,1,2,1,1,1,0,1,1,3,1,2.6
433,3,1,2,0,0,0,1,0,0,4,2,4.1
434,2,1,2,1,0,0,1,0,0,4,2,2.3
435,3,1,2,0,0,0,0,1,0,3,1,2.9
436,2,2,2,0,0,0,0,1,1,2,0,2.6
437,2,1,2,1,0,0,1,0,1,3,1,3.3
438,3,1,2,1,0,0,0,1,0,2,0,3.5
439,1,1,1,1,0,0,0,1,0,2,0,3.2
440,2,1,1,1,0,0,0,1,1,2,0,1.4
441,1,1,2,0,0,0,1,0,0,2,1,2.1
442,2,2,2,1,0,0,0,2,1,4,2,3.3
443,3,1,1,1,1,1,0,1,1,4,2,1.5
444,4,3,2,1,0,0,0,2,1,2,0,1.6
445,3,1,2,1,0,0,0,1,0,3,1,2.2
446,2,2,1,1,0,0,0,2,0,2,0,2.8
447,4,2,1,1,1,1,0,2,0,2,1,0.7
448,3,1,1,1,1,1,0,1,1,4,2,2.4
449,3,1,1,1,0,1,0,2,1,2,0,1
450,2,1,2,1,1,1,0,1,1,2,0,3.3
451,3,1,2,0,0,0,0,1,0,3,1,1.5
452,3,2,1,1,1,1,0,1,1,2,0,2.2
453,2,1,2,1,0,0,1,0,0,4,2,1.7
454,4,1,2,0,0,0,0,1,0,3,2,2
455,3,1,2,0,0,0,0,1,1,2,0,3.1
456,2,1,2,1,1,0,1,0,0,4,2,3.2
457,2,1,2,1,1,1,0,1,1,4,2,2.7
458,4,2,1,1,0,1,0,1,1,3,1,1.2
459,2,1,2,1,0,1,1,0,1,3,1,2.6
460,3,1,2,1,0,0,0,1,1,3,1,1.9
461,3,1,1,1,1,1,0,1,1,4,2,1.9
462,4,1,1,1,1,1,0,2,1,2,0,2.5
463,2,1,2,1,0,0,1,0,1,4,2,2.4
464,2,1,2,0,0,0,0,1,1,2,0,2.8
465,2,2,1,0,0,0,0,1,1,4,2,3.1
466,3,1,1,0,0,0,0,1,0,3,1,1.8
467,2,1,2,1,0,0,0,1,1,3,1,4
468,4,3,1,1,1,1,0,1,0,4,2,2.2
469,1,1,2,0,0,0,1,0,0,2,0,2.1
470,2,1,2,1,1,1,0,1,1,4,2,1.9
471,2,1,2,0,0,0,0,1,0,1,0,1
472,2,1,2,1,0,0,1,0,0,3,1,2.2
473,2,1,1,1,0,0,0,1,1,3,1,3.3
474,3,1,1,0,1,0,1,0,0,2,0,2
475,2,1,2,0,0,0,1,0,0,3,1,3.9
476,2,1,2,1,0,0,1,0,1,3,1,3.9
477,1,1,2,0,0,0,1,0,1,3,1,3.1
478,4,1,2,1,0,1,0,1,1,3,1,2.5
479,4,2,1,1,0,0,0,1,1,3,1,2.7
480,2,1,2,1,1,1,1,0,0,4,2,2
481,3,1,1,1,0,0,0,1,0,3,1,2.9
482,2,1,1,1,1,1,0,1,0,4,2,1.3
483,2,1,1,0,0,0,0,1,1,4,2,2.8
484,3,1,1,1,1,1,0,1,1,3,1,2.4
485,3,1,1,1,0,0,0,1,1,4,2,3.5
486,3,2,2,1,0,1,0,1,1,3,1,2.5
487,3,3,1,0,0,0,0,2,1,4,2,2.1
488,3,2,1,0,1,1,0,2,1,3,1,1.8
489,3,2,1,1,0,0,0,1,0,2,1,2.6
490,4,2,2,0,0,0,0,2,0,3,1,2.5
491,4,2,1,1,0,0,0,2,1,2,0,2.6
492,2,1,2,1,1,1,0,2,1,3,1,2.5
493,3,1,1,0,0,1,0,1,1,4,2,2
494,3,2,1,1,0,0,0,1,1,3,1,3.3
495,3,1,1,1,0,0,1,0,1,3,1,3.3
496,2,2,1,1,0,1,0,2,1,3,1,2.6
497,2,2,1,1,0,0,0,1,1,2,0,2.6
498,4,2,1,1,0,0,0,2,1,2,0,1.1
499,2,1,2,0,0,0,1,0,0,2,0,1.1
