,education,married,wr_01,wr_06,wr_new,age_10s,age4,race_white,Mach_score,mach_per,tp_score
253,3,1,0,0,0,0,1,0,2.75,1,2.2
254,3,2,0,1,0,0,2,1,3.65,1,2
255,3,2,1,0,1,0,1,1,3.8,1,2.8
256,4,2,1,1,1,0,2,1,4.8,2,1.6
257,3,2,1,1,1,0,1,1,2.7,0,3.3
258,2,1,1,1,0,0,0,0,4.95,2,2.8
259,2,2,1,0,1,0,2,1,3.45,1,3
260,1,1,0,0,0,0,0,1,2.15,0,0.9
261,2,3,0,0,0,0,2,1,2.25,0,3.1
262,2,1,1,1,1,0,1,1,2.55,0,2.3
263,2,1,1,1,1,0,0,1,2.4,0,3.3
264,3,1,1,0,0,0,1,1,2.6,0,2.3
265,4,3,1,0,0,0,3,1,3.25,1,2.4
266,2,1,1,1,0,0,0,0,4,2,2.8
267,2,1,1,0,0,0,0,0,3.1,1,3.6
268,2,3,1,0,0,0,1,1,2.15,0,4.1
269,2,1,0,0,0,0,0,0,2.9,1,2
270,3,1,1,0,0,0,1,1,3.35,1,1.5
271,2,1,1,0,0,0,1,1,3.8,1,2.2
272,2,1,1,0,0,0,1,0,2.7,0,1.9
273,4,1,1,0,1,0,1,1,4.05,2,2.7
274,3,1,1,0,0,0,1,1,3.95,1,3.6
275,3,1,1,1,1,0,1,0,4.6,2,1.4
276,1,1,0,0,0,0,0,0,3.8,1,2
277,1,1,0,0,0,0,0,1,2.75,1,2.5
278,3,3,1,0,0,0,1,1,3.35,1,3.5
279,3,2,1,1,0,0,1,1,4.6,2,1.4
280,3,3,1,0,1,0,1,0,3.95,1,3.5
281,2,1,0,0,0,0,0,1,3.75,1,2.4
282,2,1,0,1,1,0,0,1,2.55,0,2.7
283,2,3,1,0,1,0,2,1,3.6,1,3.5
284,4,1,1,1,1,0,2,1,2.9,1,2.7
285,3,1,1,0,1,0,0,1,4.65,2,1.7
286,3,2,1,0,0,0,2,1,2.55,0,1.3
287,4,1,1,0,0,0,3,1,3,1,1
288,4,2,1,0,1,0,2,1,3.5,1,1.2
289,2,1,0,1,1,0,0,0,3.75,1,3.5
290,4,3,1,1,1,0,2,1,3.1,1,1.2
291,2,1,1,0,0,0,0,1,3.95,1,2
292,2,2,1,0,1,0,2,1,2.5,0,1.3
293,2,1,0,0,0,0,1,0,2.15,0,2.1
294,2,1,0,0,0,0,2,1,2.6,0,2.5
295,3,1,0,1,0,0,1,0,3.2,1,0.9
296,2,2,1,0,1,0,3,1,2.6,0,1.8
297,4,2,1,1,1,0,3,1,2.6,0,0.7
298,2,2,1,0,0,0,2,0,2.25,0,1.8
299,2,1,0,0,0,0,0,1,3.8,1,0.8
300,2,1,0,0,0,0,0,1,5,2,1.4
301,2,1,0,1,1,0,0,0,3.8,1,2.8
302,2,1,1,0,0,0,0,1,3.4,1,2
303,2,1,1,0,0,0,2,1,4.4,2,2
304,1,1,0,0,0,0,0,0,3.9,1,2.3
305,2,1,0,0,0,0,0,1,3.2,1,3.7
306,2,1,1,1,1,0,1,0,3.2,1,1.6
307,3,1,1,0,1,0,2,1,4.4,2,4.5
308,2,1,1,0,0,0,1,1,3.55,1,3.3
309,2,1,1,1,0,0,0,1,3.4,1,2.4
310,2,1,0,0,0,0,1,1,4.9,2,2.2
311,2,1,0,0,0,0,0,1,2.2,0,1.4
312,2,3,0,0,0,0,1,0,2.35,0,1.7
313,2,1,1,1,0,0,0,0,3.65,1,2.4
314,4,1,0,0,0,0,1,1,3.05,1,2.1
315,1,1,0,0,0,0,0,1,3.75,1,1.7
316,2,3,0,1,0,0,2,1,3.35,1,1.7
317,3,1,1,0,1,0,0,1,3.8,1,2
318,2,1,0,0,0,0,2,0,3.3,1,2.9
319,4,1,0,0,0,0,2,1,1.85,0,1.9
320,3,1,1,1,1,0,0,1,3.55,1,2.7
321,3,1,1,1,1,0,0,1,3.95,1,1.8
322,2,3,0,0,0,0,1,0,3.7,1,2
323,4,2,1,1,1,0,2,0,4.15,2,1.8
324,4,1,0,0,0,0,1,0,4.9,2,2.6
325,3,1,1,0,0,0,1,1,2.8,1,4.3
326,3,1,1,1,1,0,1,1,3.9,1,2
327,3,1,1,1,1,0,1,1,3.9,1,1.8
328,3,2,1,1,0,0,1,1,4.25,2,3.7
329,2,1,1,1,1,0,0,0,3.05,1,3
330,1,1,0,0,0,0,0,0,3.9,1,2.6
331,2,2,1,0,0,0,2,1,2.95,1,1.7
332,3,1,1,0,1,0,2,1,2.1,0,0.5
333,2,1,0,0,0,0,0,1,4.2,2,1
334,1,1,1,0,0,0,0,0,4.35,2,3.7
335,2,1,1,0,0,0,0,1,3.35,1,1.8
336,2,2,1,0,0,0,1,1,2.7,0,2.6
337,4,1,1,0,0,0,1,0,5,2,4.4
338,2,1,1,0,0,0,1,1,4.1,2,4.1
339,2,1,0,0,0,0,0,0,3.65,1,1.2
340,2,1,1,0,0,0,0,0,2.85,1,1.5
341,4,2,1,1,0,0,2,1,2.85,1,2
342,4,1,0,0,0,0,1,0,3.6,1,1.8
343,4,2,1,1,1,0,2,1,3.25,1,3.1
344,3,1,1,0,0,0,1,0,4.1,2,3.7
345,3,2,1,0,1,0,2,0,2.7,0,3.8
346,3,1,1,0,1,0,1,1,3.6,1,2
347,2,1,0,0,0,0,0,1,4.35,2,4
348,4,2,1,1,1,0,1,1,3.55,1,3.3
349,3,2,0,0,0,0,2,1,2.9,1,2
350,1,1,1,0,1,0,0,1,4.2,2,3.6
351,1,1,1,0,0,0,0,1,2.5,0,2.6
352,3,2,1,1,1,0,1,1,2.45,0,1.2
353,3,1,1,0,0,0,1,1,4.05,2,1.9
354,2,1,1,1,1,0,0,0,4.2,2,2.8
355,3,2,1,0,1,0,2,1,3.5,1,1.1
356,1,1,1,0,0,0,1,1,4.4,2,3.9
357,2,1,1,0,1,0,1,1,3.7,1,1.7
358,1,1,1,1,1,0,0,0,4.9,2,4.2
359,4,2,1,1,1,0,1,1,3.55,1,1.4
360,2,1,0,0,0,0,0,1,4.5,2,2.4
361,2,1,1,0,0,0,0,1,3.95,1,1
362,1,2,0,0,0,0,1,1,3.1,1,2.5
363,2,1,0,1,1,0,0,1,3.9,1,1.7
364,2,1,1,0,0,0,1,0,3.85,1,2.3
365,2,1,1,0,0,0,0,1,3.75,1,2.3
366,3,1,1,1,0,0,1,0,3.6,1,1.7
367,2,1,0,0,0,0,1,0,2.95,1,3.3
368,4,2,1,1,1,0,2,1,3.9,1,2.4
369,4,1,1,1,1,0,1,1,3.75,1,3.2
370,2,2,1,0,1,0,2,1,3.5,1,1.2
371,2,1,1,0,0,0,1,0,4.1,2,4.7
372,3,3,1,1,1,0,2,1,3,1,1.7
373,1,1,1,1,1,0,1,1,5,2,2.9
374,3,1,1,0,0,0,1,1,3.6,1,1.4
375,2,1,1,0,0,0,0,0,4.85,2,3.6
376,3,1,1,1,1,0,1,1,5,2,2.2
377,3,1,0,0,0,0,1,1,2.75,1,2.5
378,2,1,1,1,1,0,1,1,5,2,1.6
379,3,1,1,0,0,0,1,1,2.2,0,2.7
380,2,1,1,1,0,0,0,1,2.5,0,1.4
381,2,1,1,1,1,0,0,1,4.25,2,4.5
382,2,2,1,0,0,0,0,1,2.5,0,2.3
383,1,3,0,0,0,0,3,1,2.55,0,2.6
384,3,3,1,0,1,0,1,1,3,1,1.5
385,4,1,1,1,1,0,2,0,2.4,0,1.9
386,3,1,1,0,1,0,1,1,4,2,3.3
387,4,1,1,1,1,0,3,1,3.5,1,2.8
388,4,1,0,0,0,0,1,0,2.9,1,3.9
389,4,1,1,0,0,0,2,1,3.35,1,1.7
390,2,1,1,0,0,0,1,0,4.05,2,2.2
391,2,1,1,1,0,0,0,1,3,1,2.6
392,3,1,1,0,0,0,1,1,3.3,1,2.9
393,2,3,1,0,1,0,1,1,3.5,1,2.8
394,4,2,1,0,1,0,2,1,3.4,1,2.1
395,2,1,1,0,0,0,1,0,4.5,2,3.5
396,4,3,1,1,1,0,2,1,2.4,0,2.4
397,2,2,1,0,0,0,1,0,4.1,2,1.5
398,2,1,1,1,0,0,0,1,4.35,2,2.4
399,3,2,1,1,1,0,1,1,3.2,1,2.5
400,3,2,0,0,0,0,2,0,2.8,1,1.2
401,2,1,1,1,0,0,0,0,3.5,1,1.9
402,2,1,0,0,0,0,1,1,2.15,0,4
403,1,1,1,0,0,0,0,1,5,2,3
404,2,2,1,0,1,0,2,1,3.5,1,2.1
405,3,1,0,1,1,0,1,1,3.4,1,3
406,4,2,1,1,1,0,2,1,3.95,1,0.6
407,1,3,1,1,0,0,2,1,2.55,0,2
408,2,2,1,0,1,0,2,1,3.45,1,1.4
409,2,1,1,0,0,0,1,1,2.95,1,3.3
410,3,1,1,1,0,0,1,1,2.85,1,2.9
411,2,1,0,0,0,0,1,1,4.05,2,1.5
412,2,1,0,0,0,0,1,0,3.2,1,1.8
413,4,1,1,0,0,0,1,0,3.85,1,3.8
414,4,3,1,1,1,0,2,1,2.65,0,0.4
415,2,2,1,0,0,0,1,1,4.5,2,1.4
416,2,1,1,1,1,0,1,1,2.95,1,3.4
417,2,1,1,0,0,0,0,0,3.8,1,3.6
418,1,1,1,0,0,0,0,0,2.8,1,1.7
419,2,1,0,1,1,0,1,1,4.25,2,3.7
420,4,1,0,1,0,0,1,0,3.05,1,2.6
421,3,1,0,0,0,0,1,1,2.65,0,2.4
422,3,3,0,0,0,0,1,1,1.9,0,1.4
423,3,3,1,0,0,0,2,1,3.25,1,2.2
424,4,2,1,1,1,0,2,1,3.4,1,2.1
425,3,3,1,1,1,0,2,1,2.25,0,0.7
426,4,2,1,0,1,0,1,1,1.95,0,2.5
427,2,2,1,0,0,0,2,1,4.1,2,2.8
428,4,2,1,0,1,0,1,1,3.8,1,2.5
429,3,2,0,1,0,0,2,1,2.3,0,1
430,3,1,1,0,0,0,1,1,3.05,1,2.3
431,4,2,1,1,1,0,2,1,4.05,2,1.9
432,3,1,1,1,1,0,1,1,3.1,1,1.6
433,2,1,1,1,1,0,1,1,3.2,1,2.6
434,3,1,1,0,0,0,0,1,4,2,2.7
435,3,2,1,1,1,0,1,1,2.8,1,3.2
436,2,1,1,1,1,0,1,0,3.85,1,2.5
437,2,3,1,1,0,0,1,1,2.4,0,1.7
438,3,1,0,0,0,0,1,1,3.15,1,2.5
439,1,1,0,0,0,0,0,1,2.75,1,3.1
440,3,1,0,0,0,0,1,0,3.2,1,2.8
441,4,1,1,0,0,0,1,1,3.95,1,2.8
442,2,2,0,0,0,0,1,1,3.75,1,3.3
443,2,1,1,0,1,0,2,1,4.5,2,4.2
444,1,3,0,0,0,0,2,1,3.55,1,0.5
445,4,3,1,1,1,0,2,1,3,1,2.7
446,3,1,1,0,0,0,1,1,3.3,1,2.8
447,3,1,1,0,0,0,1,1,2.8,1,2.4
448,3,3,1,1,1,0,2,1,2.4,0,3
449,1,1,1,1,0,0,1,1,3.9,1,2.9
450,3,1,1,1,1,0,1,1,4.05,2,1.7
451,3,1,1,1,1,0,1,0,3.75,1,3.6
452,3,1,0,0,0,0,1,1,4.85,2,2.1
453,2,1,1,0,0,0,1,1,3.75,1,3.4
454,3,3,0,0,0,0,1,0,4.4,2,1.1
455,3,1,0,0,0,0,1,1,1.9,0,2.1
456,2,1,0,0,0,0,1,1,3.15,1,2.1
457,2,1,0,0,1,0,0,1,4.15,2,1.9
458,2,3,1,0,0,0,1,0,3.75,1,2.3
459,1,1,0,0,0,0,0,0,3.4,1,3.1
460,3,2,1,0,1,0,2,1,3.85,1,3.6
461,3,2,1,0,0,0,2,1,2.95,1,0.8
462,1,1,0,1,0,0,0,0,2.95,1,1.4
463,4,1,1,1,1,0,1,0,4.35,2,4.2
464,4,1,1,1,1,0,1,1,3.15,1,1.8
465,4,3,1,0,1,0,1,1,3.3,1,3.2
466,2,2,1,0,0,0,2,1,2.8,1,2.1
467,2,1,1,1,0,0,0,0,2.95,1,2.9
468,2,1,1,0,0,0,1,1,3.45,1,2.6
469,3,1,0,0,0,0,1,0,3.4,1,2.4
470,2,1,0,0,0,0,0,0,2.15,0,0.9
471,2,1,0,0,0,0,0,1,2.75,1,2.5
472,2,1,1,0,0,0,1,0,2.9,1,2.5
473,4,3,0,0,0,0,1,1,2.3,0,2.5
474,3,1,1,0,0,0,1,0,3.75,1,1.9
475,2,1,1,0,0,0,1,0,3.5,1,2.6
476,2,3,0,0,0,0,2,1,3.5,1,2.3
477,2,1,1,1,0,0,0,0,3.45,1,1.8
478,2,1,1,1,0,0,0,0,2.15,0,1.9
479,1,1,1,0,1,0,0,1,4.1,2,3.8
480,3,1,1,1,0,0,1,1,3.25,1,2.4
481,2,1,0,0,0,0,1,0,4.95,2,0.9
482,2,2,1,0,0,0,2,1,3.2,1,2.7
483,2,1,1,0,0,0,1,1,3.5,1,2.9
484,1,1,0,0,0,0,0,0,2.8,1,1.9
485,1,1,1,1,1,0,0,0,4.85,2,2.5
486,3,1,1,0,0,0,1,1,2.95,1,2.4
487,3,3,1,0,0,0,2,1,2.55,0,1.5
488,3,1,1,0,0,0,2,1,2.75,1,3.2
489,3,1,1,0,0,0,1,1,2.35,0,2.2
490,2,1,1,0,0,0,1,1,5,2,3.5
491,3,2,1,0,0,0,2,1,3.75,1,1.2
492,3,1,1,0,1,0,0,1,4.15,2,3.1
493,2,1,0,0,0,0,1,1,3.7,1,2.1
494,2,1,1,1,1,0,0,0,4.25,2,3.5
495,2,1,1,0,0,0,1,1,3.45,1,2.8
496,2,3,1,1,0,0,2,1,3.2,1,1.1
497,2,1,1,0,0,0,0,1,4.2,2,3.2
498,4,1,1,0,0,0,2,1,2.8,1,2.5
499,3,1,0,0,0,0,1,1,3.8,1,3
500,2,2,0,0,0,0,1,1,3.85,1,3.3
501,2,1,0,0,0,0,0,0,4.1,2,2.4
