,QaA,QbA,QcA,QdA,QeA,QfA,QgA,QhA,QiA,QjA,QkA,QlA,QmA,QnA,QoA,QpA,QqA,QrA,QsA,QtA,education,married,wr_01,wr_02,wr_03,wr_04,wr_05,wr_06,wr_07,wr_08,wr_09,wr_10,wr_11,wr_12,wr_13,QaE_new,QbE_new,QcE_new,QdE_new,QeE_new,QfE_new,QgE_new,QhE_new,QiE_new,QjE_new,QkE_new,QlE_new,QmE_new,QnE_new,QoE_new,QpE_new,QqE_new,QrE_new,QsE_new,QtE_new,wr_new,age_10s,age4,race_white,QtotalE,Mach_score,mach_per,Asian,Black,Other,White,tp_score
35,5,4,4,5,1,5,5,4,1,5,2,5,5,5,5,4,2,5,5,5,4,2,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,2,2,2,2,2,2,1,2,2,0,1,1,2,2,2,2,1,1,0,0,3,1,1,4.1,2,0,0,0,1,2.1
36,3,3,5,3,3,5,5,3,3,4,2,4,3,2,5,2,3,3,5,3,4,2,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,2,0,0,2,0,0,1,1,1,2,2,1,0,1,1,1,0,2,1,1,3.45,1,0,0,0,1,3.0
37,5,5,5,5,1,4,5,5,2,5,1,5,5,2,4,3,3,2,4,5,4,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,2,1,2,1,2,1,1,0,1,0,1,0,1,1,1,0,1,2,0,0,0,1,0,1,3.8,1,0,0,1,0,2.3
38,5,4,4,5,4,5,5,5,4,5,1,5,4,2,3,3,3,2,3,1,3,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,2,1,0,2,0,0,0,0,0,0,0,1,1,1,0,1,1,1,2,0,0,1,1,1,3.65,1,0,0,0,1,3.0
39,4,5,5,5,1,5,2,5,2,1,1,5,5,5,5,5,5,5,4,2,4,1,0,1,0,0,0,0,1,1,0,1,0,1,1,2,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,0,0,1,1,1,3.85,1,0,0,0,1,1.6
40,4,3,5,3,5,4,2,3,3,3,3,5,5,3,3,3,1,4,3,5,3,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,2,2,1,2,1,1,1,1,1,2,2,2,1,2,1,2,2,1,1,0,0,1,1,1,3.5,1,0,0,0,1,3.2
41,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,2,0,1,1,1,0,2,1,1,0,1,2,1,1,2,0,1,1,1,0,0,0,0,1,4.95,2,0,0,1,0,3.3
42,1,1,1,3,1,3,2,2,3,3,2,5,5,3,1,2,1,4,5,3,2,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,2,2,2,1,0,1,2,1,1,2,1,0,1,1,1,1,1,1,2,0,0,0,0,1,2.55,0,0,1,0,0,2.5
43,2,1,2,5,3,2,3,4,2,2,1,5,3,4,2,1,2,4,1,2,3,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,2,1,0,2,1,1,1,2,0,1,2,0,1,0,0,1,0,0,0,0,1,0,1,2.55,0,1,0,0,0,2.3
44,5,4,4,4,3,4,2,1,2,3,1,5,2,2,2,4,3,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,1,2,2,1,2,1,1,0,0,0,1,1,2.7,0,0,0,0,1,2.6
45,4,2,5,4,4,4,5,1,2,4,2,4,4,4,2,2,5,4,3,4,3,3,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,2,2,2,2,2,1,2,1,0,1,1,2,1,2,1,2,0,0,2,1,1,3.45,1,0,0,0,1,2.1
46,5,4,5,5,4,4,4,5,5,5,3,5,4,4,5,5,3,5,1,5,2,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,2,2,2,1,1,2,1,0,1,1,1,2,0,0,0,0,1,1,4.3,2,0,0,0,1,2.3
47,3,1,1,5,3,2,1,1,2,2,1,4,2,2,3,1,2,2,4,2,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,2,1,2,1,1,1,0,1,1,1,1,1,2,1,1,2,0,0,0,1,1,2.2,0,0,0,0,1,2.2
48,2,1,2,4,5,1,1,1,1,2,1,4,1,1,2,4,1,4,4,2,2,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,2,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,2.2,0,0,0,0,1,2.6
49,4,5,5,5,3,1,5,4,4,5,1,5,4,3,5,4,5,3,1,4,2,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,2,0,0,1,1,0,2,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,3.8,1,0,0,1,0,3.4
50,4,4,1,4,4,4,4,2,1,2,1,5,3,4,2,1,1,1,4,3,3,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,2,1,0,1,2,2,1,1,1,1,0,1,1,1,0,3,1,1,2.75,1,0,0,0,1,1.8
51,5,5,5,5,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,2,0,1,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.65,2,1,0,0,0,4.8
52,4,1,3,3,3,2,2,2,1,2,1,5,2,1,1,2,2,1,1,3,3,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,2,2,2,1,1,1,1,0,1,1,2,2,2,2,0,1,1,0,0,1,1,1,2.1,0,0,0,0,1,3.3
53,2,1,3,5,3,5,5,3,3,4,1,5,5,5,4,4,5,4,3,4,2,1,0,1,0,1,1,0,1,1,0,1,0,1,0,2,1,1,2,1,1,0,1,1,1,1,2,2,1,1,2,2,1,1,2,0,0,0,1,1,3.7,1,0,0,0,1,3.5
54,4,4,5,4,4,5,4,2,4,3,3,5,4,5,5,5,4,4,5,5,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,4.2,2,0,1,0,0,2.0
55,5,1,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,2,2,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,2,0,1,0,0,0,0,0,2,0,0,0,2,0,0,1,0,1,4.6,2,0,0,1,0,3.7
56,5,4,5,5,5,5,5,1,5,5,5,5,4,5,5,2,4,5,5,4,3,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,2,1,1,1,0,0,1,1,0,1,1,1,0,2,1,1,1,0,1,1,0,1,0,1,4.45,2,1,0,0,0,3.1
57,5,5,5,5,1,5,5,1,4,5,5,5,5,5,5,2,5,2,1,5,2,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,2,1,2,2,2,1,2,1,2,1,2,2,1,2,1,2,0,0,2,1,1,4.05,2,0,0,0,1,4.3
58,3,1,2,5,3,5,1,1,2,4,2,5,1,2,2,1,1,2,4,1,2,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,2.4,0,1,0,0,0,2.4
59,5,1,1,5,5,2,1,3,5,2,1,2,4,1,1,1,4,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,2,1,1,1,1,0,0,2,0,2,2,2,1,1,0,1,1,0,2,1,1,2.35,0,0,0,0,1,1.1
60,2,4,1,2,1,3,2,1,2,5,4,2,3,1,2,1,2,3,3,3,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,2,1,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,0,0,0,0,1,2.35,0,1,0,0,0,1.2
61,4,2,3,4,1,2,4,1,2,5,2,3,4,2,4,2,3,2,2,4,2,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,2.8,1,0,0,0,1,3.0
62,3,1,3,4,3,5,2,1,1,2,2,5,2,4,4,1,4,3,2,1,2,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2.65,0,0,0,0,1,3.0
63,5,5,4,5,1,1,1,5,5,5,1,5,4,2,1,3,3,5,1,5,4,3,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,3.35,1,1,0,0,0,1.3
64,3,2,2,5,5,4,1,1,1,4,1,5,1,4,1,2,2,4,1,1,3,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,0,2,1,1,2.5,0,0,0,0,1,1.7
65,3,4,1,2,2,4,2,1,4,2,1,5,2,2,2,4,2,1,2,1,2,1,1,1,1,1,1,0,1,1,0,1,0,1,1,2,2,2,0,1,1,1,2,2,1,2,2,1,0,1,2,1,1,1,1,0,0,0,1,1,2.35,0,0,0,0,1,2.0
66,4,2,4,4,4,3,5,1,5,4,1,5,4,2,3,4,2,3,4,3,3,3,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,2,1,0,1,1,1,3.35,1,0,0,0,1,1.3
67,3,1,1,4,1,2,1,1,1,1,1,5,1,1,1,1,1,1,1,1,2,2,1,1,0,1,1,0,1,1,0,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,2,1,0,2,2,1,2,1,1,0,0,2,1,1,1.5,0,0,0,0,1,0.0
68,5,4,5,4,3,5,4,5,3,5,2,5,4,5,3,3,3,3,3,5,2,2,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,2,1,0,0,1,1,1,1,1,0,0,1,1,1,3.95,1,0,0,0,1,3.0
69,5,5,4,4,5,5,5,4,5,4,1,5,4,5,5,5,5,5,5,5,2,2,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,2,2,2,1,0,2,1,2,2,1,2,1,1,2,1,1,1,1,0,0,2,0,1,4.55,2,0,0,1,0,2.3
70,4,5,5,5,5,4,3,4,2,5,2,4,5,4,5,5,4,4,3,3,3,2,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,1,0,1,1,1,1,1,0,2,1,1,4.05,2,0,0,0,1,2.8
71,4,5,5,4,1,4,1,3,4,3,1,5,1,3,2,2,2,4,2,2,3,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,2,1,1,0,0,0,2,0,1,0,2,1,1,1,1,1,0,1,0,1,2.9,1,1,0,0,0,2.8
72,5,5,5,4,5,5,5,1,5,5,5,5,5,5,5,1,2,5,5,5,3,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,1,1,4.4,2,0,0,0,1,0.8
73,4,2,4,3,4,4,4,1,3,1,1,4,4,4,4,4,2,3,3,3,2,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,3.1,1,0,0,1,0,3.0
74,5,5,5,5,1,3,5,1,5,3,1,5,5,5,5,5,5,3,5,5,2,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,2,1,2,1,1,1,0,1,1,0,1,1,1,1,2,0,0,0,0,0,0,1,4.1,2,1,0,0,0,4.3
75,1,5,1,5,1,1,5,1,1,5,1,5,1,1,1,5,1,1,2,5,3,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,2,1,1,1,1,1,1,1,2,2,1,2,2,0,1,1,2,1,0,0,1,0,1,2.45,0,1,0,0,0,1.4
76,1,1,3,5,5,5,1,1,5,5,1,4,5,5,5,4,1,5,1,5,3,1,0,1,1,1,1,0,1,1,1,1,0,0,1,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,1,1,2,1,0,1,0,1,3.4,1,1,0,0,0,3.1
77,2,1,1,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,3,1,1,1,1,1,0,1,1,0,1,1,1,1,2,0,1,2,1,1,0,0,0,0,1,1,0,1,1,0,0,0,2,1,1,0,2,1,1,1.5,0,0,0,0,1,1.1
78,4,5,5,3,5,4,1,1,3,5,1,5,4,3,4,5,3,5,5,5,2,1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,2,1,1,2,2,2,2,1,1,2,2,2,1,2,1,1,1,0,0,1,0,1,3.8,1,0,1,0,0,2.0
79,4,2,4,4,4,4,5,2,1,5,1,5,4,5,4,3,2,2,4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,1,0,2,1,1,3.35,1,0,0,0,1,2.2
80,4,2,5,4,4,5,5,2,3,5,3,5,5,4,4,4,5,5,5,2,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,2,2,0,1,2,1,0,2,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,4.05,2,1,0,0,0,3.9
81,1,4,1,5,1,4,1,1,4,1,1,5,5,2,2,1,1,5,2,5,3,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,2,1,1,2,2,0,1,1,1,1,1,2,2,1,1,1,2,2,0,0,1,0,1,2.6,0,0,0,1,0,2.0
82,4,5,5,5,5,2,4,1,1,5,2,5,5,2,4,2,3,1,4,2,3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,2,2,1,1,1,1,1,1,2,2,1,2,1,2,2,1,0,1,1,1,3.35,1,0,0,0,1,3.7
83,4,4,4,5,4,5,4,4,4,3,2,5,4,5,4,4,5,5,5,3,3,3,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,2,1,0,1,2,2,1,1,1,1,1,1,0,1,2,0,1,0,0,2,1,1,4.15,2,0,0,0,1,2.0
84,5,2,3,5,3,4,4,3,1,4,1,5,2,4,4,4,5,4,4,1,2,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,2,2,1,1,2,2,2,2,2,1,2,2,2,1,0,0,0,1,1,3.4,1,0,0,0,1,3.5
85,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,4.8,2,0,0,0,1,3.2
86,5,4,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,5,5,5,2,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,4.75,2,0,0,0,1,2.2
87,3,1,2,3,3,4,1,1,1,4,2,5,4,2,3,2,3,2,4,2,4,1,1,1,0,1,1,0,1,1,0,1,0,1,1,2,2,2,2,1,1,2,2,1,2,1,2,2,1,1,2,2,2,1,1,0,0,1,1,1,2.6,0,0,0,0,1,2.1
88,5,2,5,4,5,1,1,1,2,4,1,5,3,1,4,1,5,1,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,2.9,1,0,0,0,1,1.5
89,2,3,5,5,5,5,2,2,5,4,2,5,4,5,4,2,2,4,4,1,2,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,2,1,0,0,2,0,2,0,0,2,2,1,1,1,2,1,0,0,0,0,1,1,3.55,1,0,0,0,1,3.7
90,4,4,4,5,4,3,4,2,2,4,1,5,5,2,2,3,4,3,4,4,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,2,1,2,2,1,1,0,2,2,2,0,2,1,2,0,0,0,1,1,3.45,1,0,0,0,1,2.1
91,5,1,5,4,4,4,5,1,4,4,2,5,4,3,2,5,2,2,3,2,4,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,2,2,1,0,2,2,0,1,1,2,1,1,0,1,1,1,0,0,1,1,1,3.35,1,0,0,0,1,2.2
92,4,5,5,5,5,5,5,5,5,5,3,5,5,4,4,5,5,4,4,5,4,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,0,2,0,0,1,1,0,0,1,1,1,2,1,1,0,1,0,1,1,0,1,1,1,4.65,2,0,0,0,1,1.8
93,5,2,4,5,3,5,2,1,1,5,1,5,5,1,5,1,3,2,3,4,4,2,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,2,1,0,0,2,1,1,3.15,1,0,0,0,1,2.2
94,5,2,5,5,5,5,5,3,4,4,3,5,5,5,5,4,4,5,5,5,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,2,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,4.45,2,0,0,1,0,3.2
