iter	Logloss
113	0.5472143994
114	0.5470602419
115	0.5469008372
116	0.5467487701
117	0.5466261669
118	0.5464322535
119	0.5462720364
120	0.5461344662
121	0.5460348424
122	0.5458349969
123	0.5456640028
124	0.5455078044
125	0.5453794036
126	0.5451671476
127	0.5450287055
128	0.5448810623
129	0.5447701238
130	0.5446259284
131	0.5444861219
132	0.5443499827
133	0.5442205451
134	0.5440130299
135	0.5439049811
136	0.5437749341
137	0.543639662
138	0.5435706807
139	0.5434194633
140	0.5432971866
141	0.543133357
142	0.5429646295
143	0.5428407321
144	0.5427021475
145	0.542591306
146	0.5424730843
147	0.5422992958
148	0.542111504
149	0.5420252057
150	0.5418568704
151	0.5417447256
152	0.5415320291
153	0.5414231796
154	0.5413127974
155	0.5411988147
156	0.5411253872
157	0.5409590199
158	0.5408391347
159	0.5406319239
160	0.5404943824
161	0.5403145903
162	0.5401567647
163	0.5399888964
164	0.5398649578
165	0.5397844411
166	0.5396558581
167	0.5395447416
168	0.5394059916
169	0.5392900849
170	0.5391310766
171	0.5390194463
172	0.5388487333
173	0.5387382898
174	0.538553447
175	0.5384405272
176	0.5381790804
177	0.5381104559
178	0.5379517277
179	0.5378321443
180	0.537648047
181	0.5374902057
182	0.5373531766
183	0.5371995359
184	0.5370724332
185	0.5369430897
186	0.5368278604
187	0.5367188887
188	0.5365770063
189	0.5364540802
190	0.5363509367
191	0.5362458574
192	0.5361163013
193	0.536000775
194	0.5358472759
195	0.5357281476
196	0.535612454
197	0.5354867416
198	0.5353345095
199	0.5352172415
200	0.5351082366
201	0.534978725
202	0.5348215874
203	0.5346729727
204	0.5344945297
205	0.5343657436
206	0.5342275052
207	0.5340887071
208	0.5339580797
209	0.533807072
210	0.5336886028
211	0.5335863662
212	0.5334324333
213	0.5332727223
214	0.5331544491
215	0.5330143504
216	0.5328646841
217	0.5326959045
218	0.5325051335
219	0.5323721658
220	0.5322539042
221	0.5320975284
222	0.531937556
223	0.5318213352
224	0.5316881974
225	0.5315281157
226	0.5314479766
227	0.5313170845
228	0.5311800182
229	0.5310676698
230	0.5309371867
231	0.5308035415
232	0.5306895077
233	0.5305301305
234	0.5303925707
235	0.5302803884
236	0.5301493253
237	0.5299790236
238	0.5298042156
239	0.5296046479
240	0.5294533755
241	0.5293161479
242	0.5291987256
243	0.5290323083
244	0.5288688828
245	0.5287116005
246	0.5285890982
247	0.5283892929
248	0.5282350807
249	0.5281016896
250	0.5279510391
251	0.5277740357
252	0.5276091794
253	0.5274839395
254	0.5273462269
255	0.527215051
256	0.5270727555
257	0.5269165178
258	0.5267423745
259	0.5265826419
260	0.5264257181
261	0.5263066154
262	0.5261569426
263	0.5260152161
264	0.5258955858
265	0.5257147748
266	0.5255307809
267	0.5253547666
268	0.5252009611
269	0.5250720914
270	0.5248701622
271	0.5246855038
272	0.5244977748
273	0.5242562301
274	0.5241421126
275	0.5239618679
276	0.523860404
277	0.5237152429
278	0.5235768087
279	0.5234472247
280	0.5233266411
281	0.5232175036
282	0.5230432163
283	0.5228508365
284	0.5226680638
285	0.5225280181
286	0.5223688276
287	0.5222066055
288	0.5221032688
289	0.5219585943
290	0.5217948105
291	0.5216131397
292	0.5214251917
293	0.5212498773
294	0.5211258479
295	0.5209637068
296	0.520817548
297	0.5206534972
298	0.5204772722
299	0.5203432163
300	0.5201633254
301	0.5200282096
302	0.5198702301
303	0.5196888464
304	0.5194457243
305	0.5193207114
306	0.5191952457
307	0.5190181171
308	0.5188710524
309	0.5187192839
310	0.5185845817
311	0.5184480205
312	0.5183108366
313	0.5181549075
314	0.5180198009
315	0.5178407742
316	0.5177076896
317	0.5175308342
318	0.5173890231
319	0.5172252704
320	0.5170205363
321	0.5168625925
322	0.5166875975
323	0.5165482068
324	0.5164368148
325	0.5163101856
326	0.5161508329
327	0.5159835109
328	0.5158271337
329	0.5156645109
330	0.5155055127
331	0.5153752582
332	0.5152200115
333	0.5151100369
334	0.5149441413
335	0.5147842017
336	0.5146044618
337	0.5144249668
338	0.5142819867
339	0.5141820032
340	0.5140660381
341	0.5138903042
342	0.513749976
343	0.5135925918
344	0.5133963678
345	0.5132613865
346	0.5131147582
347	0.5129356718
348	0.5127520628
349	0.51259105
350	0.5124472881
351	0.5122894246
352	0.5121522253
353	0.5120272933
354	0.5118913499
355	0.5117070627
356	0.5115755935
357	0.5114131034
358	0.5112510952
359	0.5111401271
360	0.5110360907
361	0.5108564271
362	0.5107058899
363	0.5105424136
364	0.5104052199
365	0.5103052141
366	0.5101972423
367	0.5100229541
368	0.5099173162
369	0.5097630426
370	0.5095984859
371	0.5094186919
372	0.5092498833
373	0.5090771921
374	0.5089623799
375	0.5087794891
376	0.5085186938
377	0.508415492
378	0.5082747352
379	0.5081172488
380	0.5079826691
381	0.5078403009
382	0.5076532488
383	0.5075316427
384	0.5074303471
385	0.5072536461
386	0.507094396
387	0.5069798236
388	0.5068583989
389	0.5067195369
390	0.5066025953
391	0.5064821833
392	0.5063164134
393	0.5061731642
394	0.5060407734
395	0.5059030147
396	0.5057846009
397	0.5056416858
398	0.5055224672
399	0.5053947206
400	0.5052411153
401	0.5050756947
402	0.5049472867
403	0.5048033757
404	0.5046588884
405	0.5045541254
406	0.5044340687
407	0.5042782551
408	0.5041324088
409	0.5039992133
410	0.5038590432
411	0.5037251906
412	0.5036112133
413	0.5035004921
414	0.5033559046
415	0.5032347341
416	0.5031152959
417	0.502991178
418	0.5028592885
419	0.5027051046
420	0.5025335438
421	0.5024029496
422	0.5022779191
423	0.5021034399
424	0.5020010844
425	0.5018502267
426	0.501738643
427	0.5016250623
428	0.5014521716
429	0.5013032016
430	0.5011697984
431	0.5010543137
432	0.5009286373
433	0.5007632221
434	0.5005989892
435	0.5004668086
436	0.5003433856
437	0.5001848228
438	0.5000673026
439	0.4999379275
440	0.4998159295
441	0.4996811157
442	0.4995575714
443	0.499411627
444	0.4992334571
445	0.4991016942
446	0.4989409747
447	0.4987889298
448	0.4986313622
449	0.4984583252
450	0.4983310768
451	0.4982208938
452	0.4980685863
453	0.4979497133
454	0.4977750571
455	0.497604611
456	0.4974796071
457	0.4973489463
458	0.4971826041
459	0.4970249474
460	0.4968935254
461	0.496747166
462	0.4966262157
463	0.4965093791
464	0.4963566578
465	0.4962358033
466	0.4961021391
467	0.4958959129
468	0.4957221876
469	0.4955775456
470	0.4954535289
471	0.4953070414
472	0.4951678015
473	0.4949997327
474	0.4948222598
475	0.4946993001
476	0.4945589194
477	0.4944379925
478	0.4942722106
479	0.4941506777
480	0.4940345036
481	0.4939149324
482	0.4937654517
483	0.4936363332
484	0.4935025474
485	0.4933924296
486	0.4932813135
487	0.4931027362
488	0.4929745297
489	0.4928562464
490	0.4926977733
491	0.4925265809
492	0.4923850642
493	0.4922285437
494	0.4920965796
495	0.4919199607
496	0.4917789885
497	0.4916574039
498	0.4915104629
499	0.4913415417
500	0.4911764946
501	0.491052398
502	0.4909183179
503	0.4907717912
504	0.4906353527
505	0.4904975245
506	0.4903661176
507	0.490207002
508	0.490071648
509	0.4899379405
510	0.4897725696
511	0.4896403987
512	0.4895330701
513	0.4893507882
514	0.4891877165
515	0.4890264632
516	0.488893798
517	0.488738753
518	0.4886301827
519	0.4884944288
520	0.4883684834
521	0.488212978
522	0.4880653107
523	0.4879013763
524	0.4877578274
525	0.4876128358
526	0.4874830024
527	0.4873394954
528	0.4872427733
529	0.4870905044
530	0.4869650109
531	0.4867958126
532	0.4866766175
533	0.4865697312
534	0.4864465055
535	0.4862991098
536	0.4861451234
537	0.4860171803
538	0.4858841711
539	0.4857596511
540	0.4856324739
541	0.4855078786
542	0.4853332281
543	0.4852100416
544	0.4850709675
545	0.4849418558
546	0.4848498236
547	0.4847064514
548	0.4845366714
549	0.4844020954
550	0.4842965708
551	0.4841693643
552	0.4840609946
553	0.4839041387
554	0.4837694411
555	0.4836363379
556	0.4834691418
557	0.4833242901
558	0.4832102286
559	0.483046259
560	0.4829283712
561	0.4827679059
562	0.4826711004
563	0.4825108442
564	0.4823792574
565	0.4822645469
566	0.4821422122
567	0.4820566933
568	0.4819197101
569	0.4817009204
570	0.481580165
571	0.481464216
572	0.481314422
573	0.4811569517
574	0.4810825669
575	0.4809403941
576	0.4808534331
577	0.4806943752
578	0.4805845693
579	0.4804562438
580	0.4803300475
581	0.4802124668
582	0.4800960248
583	0.479982543
584	0.4798687256
585	0.4797308463
586	0.4796061387
587	0.4794695636
588	0.4793286492
589	0.4792285855
590	0.4790768059
591	0.4789749596
592	0.4788438158
593	0.4786691561
594	0.4785087245
595	0.4783633553
596	0.4782612506
597	0.4781024524
598	0.4779764864
599	0.4778246943
600	0.4776989833
601	0.4775415509
602	0.47740462
603	0.4772890243
604	0.4771815272
605	0.477094826
606	0.476974042
607	0.4768623275
608	0.4767235972
609	0.4765772804
610	0.4764021259
611	0.476276889
612	0.4761113934
613	0.4759995499
614	0.4759191619
615	0.4758242146
616	0.4756775271
617	0.4755476588
618	0.4754056227
619	0.4752362512
620	0.4750943952
621	0.4749602204
622	0.474848482
623	0.4747014394
624	0.47454189
625	0.4744351985
626	0.474295412
627	0.4741671729
628	0.4740140775
629	0.4738766076
630	0.4737372173
631	0.4735808062
632	0.473473252
633	0.4733377204
634	0.4732467695
635	0.4730734648
636	0.4729025059
637	0.4727416117
638	0.4726090031
639	0.4724748635
640	0.4723355055
641	0.4721905499
642	0.4720274935
643	0.4718919786
644	0.4717594833
645	0.4716268145
646	0.4714879657
647	0.4713649135
648	0.4712405772
649	0.4710790212
650	0.4709616713
651	0.4708085357
652	0.4706589108
653	0.470544681
654	0.470433464
655	0.4703427808
656	0.470192646
657	0.4701251749
658	0.4699810586
659	0.4698827005
660	0.4697529025
661	0.4696312063
662	0.4694824021
663	0.4693997506
664	0.4692634943
665	0.4691788011
666	0.4690653668
667	0.4689221485
668	0.4687813585
669	0.4686066499
670	0.4685027526
671	0.4683789961
672	0.4682359886
673	0.4680859472
674	0.4679211539
675	0.4677753373
676	0.4676357475
677	0.4675094835
678	0.4673678843
679	0.4672096366
680	0.4670624044
681	0.4669331396
682	0.4668050677
683	0.4667147319
684	0.4665760236
685	0.4664239604
686	0.4662851195
687	0.4661476282
688	0.4659872781
689	0.4658710002
690	0.4657763437
691	0.4656225288
692	0.4654793536
693	0.4653607209
694	0.4652188255
695	0.4651249795
696	0.4650039212
697	0.4648648715
698	0.4647420794
699	0.4646002931
700	0.4644492273
701	0.4643381457
702	0.4641979567
703	0.464063271
704	0.4639418561
705	0.4638086001
706	0.4636712352
707	0.4635261658
708	0.4634145633
709	0.4632519497
710	0.463128765
711	0.4630050406
712	0.4628917955
713	0.4627417036
714	0.4626285237
715	0.4624951833
716	0.4624031263
717	0.4622724422
718	0.4621289606
719	0.462027211
720	0.4618759564
721	0.4617608131
722	0.46163805
723	0.4615180741
724	0.4613718349
725	0.4612057066
726	0.4610942201
727	0.460931612
728	0.4608125965
729	0.4607187126
730	0.4606181818
731	0.4605043684
732	0.4603949256
733	0.4602543433
734	0.4601280823
735	0.4599867066
736	0.4598716975
737	0.459731397
738	0.4596046524
739	0.459486607
740	0.459369596
741	0.4592293638
742	0.4591232841
743	0.4590109317
744	0.4588781088
745	0.4587424164
746	0.4586083735
747	0.4584942924
748	0.4583403406
749	0.4582200617
750	0.4580757715
751	0.4579749116
752	0.4578459192
753	0.4577327883
754	0.4576053873
755	0.4574968851
756	0.4573856336
757	0.4572788716
758	0.4571483423
759	0.457041822
760	0.4569349743
761	0.4568046216
762	0.4566810972
763	0.4565823773
764	0.4564911878
765	0.4563945513
766	0.4562898808
767	0.4562050746
768	0.4561318715
769	0.4559642996
770	0.4558366963
771	0.4556913934
772	0.4555609282
773	0.455429302
774	0.4553210013
775	0.4552030124
776	0.4550850148
777	0.4549736792
778	0.45485505
779	0.4547498117
780	0.4546132584
781	0.4544804852
782	0.4543650247
783	0.4542614209
784	0.454159942
785	0.4539926124
786	0.453900367
787	0.4537715195
788	0.4536466041
789	0.4535268901
790	0.4533798892
791	0.4532784642
792	0.4531405835
793	0.4530190003
794	0.4529111364
795	0.452814213
796	0.4527231205
797	0.4525891965
798	0.4524526379
799	0.4523366218
800	0.4522294645
801	0.4520944842
802	0.4519692219
803	0.4518335665
804	0.4517097891
805	0.4515973035
806	0.4514828201
807	0.4513756007
808	0.4512515424
809	0.4511109247
810	0.4510184423
811	0.4509028774
812	0.450772158
813	0.450649532
814	0.4505006125
815	0.4503584881
816	0.4502358411
817	0.4501163232
818	0.45001311
819	0.4498736325
820	0.4497425706
821	0.4496062659
822	0.4494565666
823	0.4493451421
824	0.4492334104
825	0.4490885802
826	0.4489391193
827	0.4488017659
828	0.4486527648
829	0.4485090774
830	0.4483900403
831	0.4482505543
832	0.4481445899
833	0.4480041473
834	0.4479115661
835	0.4478142937
836	0.447667545
837	0.4475484073
838	0.4474363966
839	0.4473181636
840	0.4471999997
841	0.4470720615
842	0.4469537906
843	0.4468634322
844	0.4467465796
845	0.4466056481
846	0.4464882318
847	0.4463814945
848	0.4462880247
849	0.446169552
850	0.44601878
851	0.4458903182
852	0.4457632833
853	0.4456589484
854	0.4455348139
855	0.4454102734
856	0.4453229438
857	0.4452331891
858	0.4451226775
859	0.4450009898
860	0.4449192677
861	0.4447900216
862	0.4447109802
863	0.4445600058
864	0.4444225058
865	0.4442472353
866	0.4441044639
867	0.4439799391
868	0.4438630009
869	0.4437390306
870	0.4436060812
871	0.4435079123
872	0.4433613721
873	0.4432728402
874	0.4431425878
875	0.4430271196
876	0.4429035962
877	0.4427840194
878	0.4426788124
879	0.4425654613
880	0.4424454216
881	0.4423123994
882	0.442201204
883	0.4421235424
884	0.442016615
885	0.4418813824
886	0.4417381219
887	0.4416136658
888	0.4415140848
889	0.4413982196
890	0.4412868616
891	0.4411641823
892	0.4410461712
893	0.4409189066
894	0.440784554
895	0.4406688814
896	0.4405647314
897	0.4404463696
898	0.4403592278
899	0.4402607321
900	0.4401296958
901	0.4400314298
902	0.4398972502
903	0.4397981089
904	0.4396931587
905	0.4396052897
906	0.4394677561
907	0.4393530674
908	0.4391987928
909	0.4390858927
910	0.4389606506
911	0.4388202972
912	0.4387011914
913	0.4385576724
914	0.4384094945
915	0.438304937
916	0.4381620919
917	0.4380297687
918	0.4379179213
919	0.4377974452
920	0.437652665
921	0.4375739093
922	0.4374466337
923	0.4373280605
924	0.4372241876
925	0.4371119791
926	0.4370152876
927	0.4369180232
928	0.4368334569
929	0.4367192237
930	0.4366514146
931	0.4365275162
932	0.4363873273
933	0.4362378432
934	0.4360983189
935	0.4360225979
936	0.4359248543
937	0.4358136566
938	0.4356774172
939	0.4355753102
940	0.4354002391
941	0.4352524838
942	0.4351162882
943	0.4349687794
944	0.4348512357
945	0.4347427967
946	0.434632006
947	0.4345045838
948	0.4344142701
949	0.4342831501
950	0.4341859561
951	0.4341086106
952	0.4340128895
953	0.4339095676
954	0.4338218078
955	0.4336997966
956	0.4335792824
957	0.433449872
958	0.4333166367
959	0.4332084967
960	0.4331323279
961	0.4330004746
962	0.4328944275
963	0.4327817002
964	0.4326483233
965	0.4325462301
966	0.4324399466
967	0.4323121645
968	0.4321691668
969	0.4320436527
970	0.4319232704
971	0.4318126539
972	0.4316810899
973	0.4315430579
974	0.4314262411
975	0.4313193974
976	0.4312181288
977	0.431092828
978	0.4309971568
979	0.4309045921
980	0.4308209126
981	0.430689995
982	0.4305756916
983	0.4304695971
984	0.4303454004
985	0.4302593074
986	0.4301470283
987	0.4300718947
988	0.4299814074
989	0.429893111
990	0.4297966723
991	0.4297284384
992	0.4296059863
993	0.429463735
994	0.4293680119
995	0.4292790349
996	0.4292197498
997	0.4290967607
998	0.4289875917
999	0.4288766771
